binary,architecture
IGAAxCBgAAUAAADEAKAAxCBgAAUAAADAIKAABQAAAMQAoACwECAAkhAgAJQQIADEIGAAEQAAAEAAAACQEiAAgQ==,sparc
NzC0MKCMEIlnsI0QiXeIZ5bYAUgHWBeIJ5g3kDXADBY3NQEMBoAkwGBCwC0EBgEAACgHOBcd8AAANmEAfQEpBw==,xtensa
ikgAQZwAFIFfAAiBPwAMfUlIMEgAAAiBPwAIfSNLeDl/ACCD6//8fWFbeE6AACCUIf/gk+EAHHw/C3iQfwAIkA==,powerpc
ADQDAAAACQAAAMIJIAA5AAAAxBdgAIIXIADEAEAAxgCAAICg4AECgAAyBwAAAAcAAACEEOAAxCBAAMIJIAADAA==,sparc
AAAj/HoA9HoAAAAAcP8jwAAAAAAj/HoA9HoAAAAAI/yVGtOGAAAAACP8lRrThgAAAAAj/JUa04YAAAAAQqdCpw==,m68k
DlKAYAJCgHQBtIBs9FKBcAKwgWzwIDkAAAAASnkAAAAAZzwgOQAAAAAyOQAAAABIwTAuABpIwEwBCABy/7KAZw==,m68k
////D7YFAAAAAA++wIkFAAAAAMcFAAAAAAUAAAC4AAAAAOsTSGPQixSVAAAAAIkVAAAAAIPAAYP4AX7ouQAAAA==,x86_64
uqcoAAFQIBAAp/QACFgQ0c5YIBAAWBAQAFgQ0banKAAApzgAAFgQEACnSAAAUCAQAFgQ0cpYINGyWBAQAFgQ0Q==,s390
Rg7AAQMBJs/OzQ5gUIZYEBAAWCAQAFhA8DhY4PA4B/QAAAAAAAAAAAAAAAAMBwcHBwcHB5DP8DAN0Kf6/6BYEA==,s390
GiIuYmRWbmZoMjNmLUaTNh1hG2YpAWxBpzEpAYJmYDH/4RpiKDAByQbiLUAPYBuSDUJ3MikCZzIpAikjFZIgMw==,sh4
AAAAAKxgABg8AgAAlEQAIiQDAAE8AgAArEMACDwCAACMRQAkPAIAACRDABCUQgAQpGIAAiQCAB4kQv//FED//w==,mips
8EDgUOBIX19PgeCQ4OQX9QcE9IDgkOCQkwAAgJMAAIDgkOAAwAGWAMCA4JDgGBYZBgT0gOCQ4ADAT19fTwDAQA==,avr
VgL9QQAAwCAAWAvAIABYBMAgAEgEgQAAWARIA1kGMpMCwCAASQjAIAA5CMAgACkIwCAAyQhIDzKfAsAgAEkIwA==,xtensa
YOcWNj0gAACQ6gAEgUoAEJDJAAA4wAAAkQkAAJDpAACRCQAAkQkAAJEJAACRSQAATMYxgkgAAAGAAQAUOGAAAA==,powerpc
FAAAAhQDBEH/+AAAAACvqQAYpWAAfAIgECEAAKAhAACoIYzDAIiDpAAbhQMAjgCDABoAYAH0AAAgEBSAAMKM4w==,mips
ghBgAAUAAAAQgAAFwiCgAICgYAEkv///ggBgAZAKIP+Bw+AIAQAAAAMAAADCAGAAgIhg/wKAAAqAoGAAhBAgGA==,sparc
gACCEGARwiCAAAMAAADGAGAAwgbgAIIA4AGAiGARAoAABgMAAADEAGAAwgCAAII4AAHCIIAAAwAAAMgHYADIIA==,sparc
AKgZDALAIACpCJIZBICZI8AgAJkIkQAAogkAoKB0wCAAqQjAIACoGcAgAKkIkhkEoQAAgJkjwCAAmQiBAADgCA==,xtensa
FQAAAAC6YN///4Pw+WaJBQAAAACJ0LkGAAAAMdJm9/FmhdJ1B2aLBQAAAABIxwUAAAAAAAAAAMYFAAAAAAQPtg==,x86_64
